Pore Size Analysis (all nm units)
Image : 1280×960px , 300×
Pixel  : 0.330 nm/px

Average Diameter : 15.299 nm
Mode    Diameter : 12.541 nm

Diameter_center(nm)	Bin_width(nm)	PDF_diameter
0.924	0.528	0.063258
1.452	0.528	0.045240
1.980	0.528	0.032042
2.508	0.528	0.024693
3.036	0.528	0.000000
3.564	0.528	0.037528
4.092	0.528	0.011355
4.620	0.528	0.013892
5.149	0.528	0.014539
5.677	0.528	0.000000
6.205	0.528	0.009045
6.733	0.528	0.027661
7.261	0.528	0.007866
7.789	0.528	0.015802
8.317	0.528	0.000000
8.845	0.528	0.034158
9.373	0.528	0.062665
9.901	0.528	0.027559
10.429	0.528	0.049775
10.957	0.528	0.000000
11.485	0.528	0.042965
12.013	0.528	0.067571
12.541	0.528	0.167155
13.069	0.528	0.155747
13.597	0.528	0.000000
14.125	0.528	0.106130
14.653	0.528	0.072076
15.182	0.528	0.088312
15.710	0.528	0.043111
16.238	0.528	0.000000
16.766	0.528	0.024682
17.294	0.528	0.146558
17.822	0.528	0.108620
18.350	0.528	0.004284
18.878	0.528	0.000000
19.406	0.528	0.004308
19.934	0.528	0.100711
20.462	0.528	0.021073
20.990	0.528	0.011379
21.518	0.528	0.000000
22.046	0.528	0.012159
22.574	0.528	0.003069
23.102	0.528	0.006124
23.630	0.528	0.013463
24.158	0.528	0.000000
24.686	0.528	0.036711
25.215	0.528	0.002458
25.743	0.528	0.001783
26.271	0.528	0.031535
26.799	0.528	0.000000
27.327	0.528	0.002745
27.855	0.528	0.009770
28.383	0.528	0.001987
28.911	0.528	0.001490
29.439	0.528	0.000000
29.967	0.528	0.006442
30.495	0.528	0.000797
31.023	0.528	0.000997
31.551	0.528	0.001056
32.079	0.528	0.000000
32.607	0.528	0.001161
33.135	0.528	0.002119
33.663	0.528	0.011642
34.191	0.528	0.001158
34.719	0.528	0.000000
35.248	0.528	0.001344
35.776	0.528	0.008499
36.304	0.528	0.005159
36.832	0.528	0.009016
37.360	0.528	0.000000
37.888	0.528	0.000514
38.416	0.528	0.000478
38.944	0.528	0.000539
39.472	0.528	0.000624
40.000	0.528	0.000000
40.528	0.528	0.004025
41.056	0.528	0.000914
41.584	0.528	0.000888
42.112	0.528	0.001044
42.640	0.528	0.000000
43.168	0.528	0.000797
43.696	0.528	0.011820
44.224	0.528	0.000419
44.752	0.528	0.000264
45.281	0.528	0.000000
45.809	0.528	0.000203
46.337	0.528	0.000305
46.865	0.528	0.005035
47.393	0.528	0.007468
47.921	0.528	0.000000
48.449	0.528	0.014824
48.977	0.528	0.000434
49.505	0.528	0.009733
50.033	0.528	0.000502
50.561	0.528	0.000000
51.089	0.528	0.000170
51.617	0.528	0.000214
52.145	0.528	0.000183
52.673	0.528	0.000183
53.201	0.528	0.017726
